📛4K·8K频道,#genre#
中国|CCTV-3 综艺 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SB8FvO&tk=smNdz6qOecOl
🚌广东频道,#genre#
中国|珠江台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=p3W5Yq&tk=smNdz6qOecOl
🦼山西频道,#genre#
山西影视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WKiooe&tk=smNdz6qOecOl
🚞浙江频道,#genre#
中国|CCTV-2 财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2XINrr&tk=smNdz6qOecOl
中国|CCTV-4 中文国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TPcNi4&tk=smNdz6qOecOl
🏍️港澳台频道,#genre#
中国|凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yQvwW0&tk=smNdz6qOecOl
台湾|TVBS HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jIO6pf&tk=smNdz6qOecOl
台湾|TVBS News 新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZrCZUU&tk=smNdz6qOecOl
台湾|TVBS 欢乐台 （备份）,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cCT1sf&tk=smNdz6qOecOl
台湾|东森新闻 ETTV News,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Wq7ucO&tk=smNdz6qOecOl
台湾|东森综合 ETTV Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6zUxn4&tk=smNdz6qOecOl
台湾|东森超视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=i1xrCI&tk=smNdz6qOecOl
台湾|中天亚洲台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RK9AZ1&tk=smNdz6qOecOl
台湾|中天娱乐 CTI Entertaiment,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YrwrMJ&tk=smNdz6qOecOl
台湾|中天新闻 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GBvxmL&tk=smNdz6qOecOl
台湾|中天综合 CTI Metro,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0IPgEB&tk=smNdz6qOecOl
台湾|台视新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1qpjc0&tk=smNdz6qOecOl
台湾|寰宇新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=babikE&tk=smNdz6qOecOl
台湾|纬来育乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gZHMKw&tk=smNdz6qOecOl
香港|凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NTaKW0&tk=smNdz6qOecOl
香港|凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oLHiBK&tk=smNdz6qOecOl
香港|明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=N3XAk7&tk=smNdz6qOecOl
香港|翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nFzcmQ&tk=smNdz6qOecOl
香港|翡翠台 backup,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=t6WmHe&tk=smNdz6qOecOl
🎬影视剧频道,#genre#
台湾|东森电影 ETTV Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iSI29x&tk=smNdz6qOecOl
台湾|纬来电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zbo4QF&tk=smNdz6qOecOl
台湾|美亚电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ardAuQ&tk=smNdz6qOecOl
电影|东森电影 ETTV Movie,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eKdgMv&tk=smNdz6qOecOl
电影|美亚电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9sQDzl&tk=smNdz6qOecOl
🏀体育频道,#genre#
CCTV5+体育高清,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SBP2Lr&tk=smNdz6qOecOl
CCTV5体育,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4tkptV&tk=smNdz6qOecOl
